"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-9082319.16","5423538.66","463.312716528",1,1,"Senescence.Num_Modes_01","days since 1-1-1970","1.0",48.7768489307766,-123.939863903772,"grarryoak","MCD12Q2","2019-06-01","2022-08-31",TRUE,"A2020001","2020-01-01","h09v04","2022117194309",1,18486
"-9082319.16","5423538.66","463.312716528",1,1,"Senescence.Num_Modes_01","days since 1-1-1970","1.0",48.7768489307766,-123.939863903772,"grarryoak","MCD12Q2","2019-06-01","2022-08-31",TRUE,"A2021001","2021-01-01","h09v04","2022294172527",1,18841
"-9082319.16","5423538.66","463.312716528",1,1,"Senescence.Num_Modes_01","days since 1-1-1970","1.0",48.7768489307766,-123.939863903772,"grarryoak","MCD12Q2","2019-06-01","2022-08-31",TRUE,"A2022001","2022-01-01","h09v04","2023221213405",1,19210
